cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
33185,EQUIFAX INC,2018,20190221,0.342245989,0,https://www.sec.gov/Archives/edgar/data/33185/000003318519000007/efx10k20181231.htm,
1109357,EXELON Corp,2018,20190208,0.360962567,0,https://www.sec.gov/Archives/edgar/data/8192/000162828019001107/exc-20181231x10k.htm,
34088,EXXON MOBIL CORP,2018,20190227,0.221925134,0,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/xom10k2018.htm,
1048911,FEDEX CORP,2018,20180716,0.278074866,0,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/fdx-10k_20180531.htm,
35527,FIFTH THIRD BANCORP,2018,20190301,0.323529412,0,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/d680668d10k.htm,
1031296,FIRSTENERGY CORP,2018,20190219,0.294117647,0,https://www.sec.gov/Archives/edgar/data/1031296/000103129619000010/fe-12312018x10k.htm,
37996,FORD MOTOR CO,2018,20190221,0.326203209,0,https://www.sec.gov/Archives/edgar/data/37996/000003799619000012/f1231201810-k.htm,
38777,FRANKLIN RESOURCES INC,2018,20181109,0.256684492,0,https://www.sec.gov/Archives/edgar/data/38777/000003877718000233/form10k93018.htm,
831259,FREEPORT-MCMORAN INC,2018,20190215,0.296791444,0,https://www.sec.gov/Archives/edgar/data/831259/000083125919000009/a2018form10-k.htm,
39911,GAP INC,2018,20180320,0.248663102,0,https://www.sec.gov/Archives/edgar/data/39911/000003991118000048/fy201710-k.htm,
40533,GENERAL DYNAMICS CORP,2018,20190213,0.232620321,0,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/gd-2018123110k.htm,
40545,GENERAL ELECTRIC CO,2018,20190226,0.385026738,0,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/ge10-k2018.htm,
40704,GENERAL MILLS INC,2018,20180629,0.27540107,0,https://www.sec.gov/Archives/edgar/data/40704/000119312518209377/d564680d10k.htm,
40987,GENUINE PARTS CO,2018,20190225,0.243315508,0,https://www.sec.gov/Archives/edgar/data/40987/000004098719000015/gpc-12312018x10k.htm,
277135,GRAINGER W W INC,2018,20190228,0.219251337,0,https://www.sec.gov/Archives/edgar/data/277135/000027713519000010/gww20181231-10k.htm,
45012,HALLIBURTON CO,2018,20190213,0.259358289,0,https://www.sec.gov/Archives/edgar/data/45012/000004501219000044/hal12312018-10k.htm,
874766,HARTFORD FINANCIAL SERVICES GROUP INC/DE,2018,20190222,0.371657754,0,https://www.sec.gov/Archives/edgar/data/874766/000087476619000018/hig1231201810-kdocument.htm,
46080,HASBRO INC,2018,20190226,0.299465241,0,https://www.sec.gov/Archives/edgar/data/46080/000119312519052025/d678728d10k.htm,
47111,HERSHEY CO,2018,20190222,0.251336898,0,https://www.sec.gov/Archives/edgar/data/47111/000004711119000010/a2018form10-kq4.htm,
4447,HESS CORP,2018,20190221,0.237967914,0,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/hes-10k_20181231.htm,
354950,HOME DEPOT INC,2018,20180322,0.227272727,0,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/hd_10k01282018.htm,
773840,HONEYWELL INTERNATIONAL INC,2018,20190208,0.272727273,0,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/c92779_10k.htm,
47217,HP INC,2018,20181213,0.35026738,0,https://www.sec.gov/Archives/edgar/data/47217/000004721718000052/hp-103118x10k.htm,
49071,HUMANA INC,2018,20190221,0.240641711,0,https://www.sec.gov/Archives/edgar/data/49071/000004907119000023/hum-20181231x10k.htm,
49196,HUNTINGTON BANCSHARES INC/MD,2018,20190215,0.310160428,0,https://www.sec.gov/Archives/edgar/data/49196/000004919619000018/hban2018-12x31x10k.htm,
49826,ILLINOIS TOOL WORKS INC,2018,20190215,0.22459893,0,https://www.sec.gov/Archives/edgar/data/49826/000004982619000021/itw-20181231x10k.htm,
50863,INTEL CORP,2018,20190201,0.315508021,0,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/a12292018q4-10kdocument.htm,
51143,INTERNATIONAL BUSINESS MACHINES CORP,2018,20190226,0.35828877,1,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm,"['https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254zex-13.htm', 'https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254zex-13.htm']"
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,2018,20190226,0.286096257,0,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/iff10k2018.htm,
51434,INTERNATIONAL PAPER CO /NEW/,2018,20190220,0.272727273,0,https://www.sec.gov/Archives/edgar/data/51434/000005143419000007/a10-k123118.htm,
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",2018,20190225,0.22459893,0,https://www.sec.gov/Archives/edgar/data/51644/000005164419000009/ipg12311810k.htm,
